hour,close,pred5,pred10
18,49354.48046875,49076.9375,49219.8671875
19,49200.66015625,48889.125,49062.58984375
20,48898.7890625,48602.078125,48756.22265625
21,49003.0234375,48650.08203125,48870.64453125
22,49281.90625,48987.43359375,49138.515625
23,49256.35546875,48923.28515625,49112.76171875
